shop00001	神奈川県相模原市南区
shop00002	神奈川県海老名市
shop00003	神奈川県綾瀬市
shop00004	神奈川県横浜市緑区
shop00005	神奈川県足柄上郡松田町
shop00006	神奈川県横浜市港北区
shop00007	神奈川県横浜市鶴見区
shop00008	東京都目黒区
shop00009	神奈川県横須賀市
shop00010	東京都東久留米市
shop00011	東京都中野区
shop00012	神奈川県相模原市緑区
shop00013	神奈川県大和市
shop00014	東京都大島町
shop00015	神奈川県横浜市青葉区
shop00016	神奈川県川崎市川崎区
shop00017	神奈川県横浜市金沢区
shop00018	神奈川県三浦市
shop00019	神奈川県横浜市金沢区
shop00020	神奈川県中郡二宮町
shop00021	神奈川県鎌倉市
shop00022	東京都狛江市
shop00023	神奈川県川崎市川崎区
shop00024	東京都中野区
shop00025	東京都武蔵野市
shop00026	神奈川県川崎市幸区
shop00027	東京都練馬区
shop00028	神奈川県綾瀬市
shop00029	神奈川県川崎市多摩区
shop00030	神奈川県横浜市都筑区
shop00031	東京都荒川区
shop00032	東京都新島村
shop00033	東京都日野市
shop00034	東京都狛江市
shop00035	神奈川県茅ヶ崎市
shop00036	東京都品川区
shop00037	東京都武蔵野市
shop00038	神奈川県横浜市中区
shop00039	東京都東久留米市
shop00040	神奈川県愛甲郡愛川町
shop00041	東京都文京区
shop00042	東京都目黒区
shop00043	東京都東久留米市
shop00044	神奈川県伊勢原市
shop00045	東京都目黒区
shop00046	東京都足立区
shop00047	東京都港区
shop00048	東京都中央区
shop00049	神奈川県横浜市南区
shop00050	東京都神津島村
shop00051	神奈川県逗子市
shop00052	神奈川県高座郡寒川町
shop00053	神奈川県三浦市
shop00054	神奈川県横浜市磯子区
shop00055	東京都中央区
shop00056	東京都足立区
shop00057	神奈川県三浦市
shop00058	神奈川県横浜市戸塚区
shop00059	東京都青梅市
shop00060	東京都豊島区
shop00061	東京都東村山市
shop00062	東京都小平市
shop00063	東京都町田市
shop00064	東京都中野区
shop00065	神奈川県横浜市保土ケ谷区
shop00066	神奈川県川崎市麻生区
shop00067	東京都八王子市
shop00068	神奈川県足柄下郡真鶴町
shop00069	神奈川県横浜市泉区
shop00070	神奈川県横須賀市
shop00071	神奈川県茅ヶ崎市
shop00072	東京都羽村市
shop00073	東京都江東区
shop00074	神奈川県横浜市神奈川区
shop00075	東京都千代田区
shop00076	東京都利島村
shop00077	東京都青ヶ島村
shop00078	神奈川県足柄下郡湯河原町
shop00079	東京都葛飾区
shop00080	神奈川県秦野市
shop00081	東京都利島村
shop00082	東京都多摩市
shop00083	東京都荒川区
shop00084	東京都文京区
shop00085	東京都日野市
shop00086	東京都多摩市
shop00087	東京都小金井市
shop00088	神奈川県横浜市都筑区
shop00089	神奈川県横浜市都筑区
shop00090	神奈川県足柄下郡湯河原町
shop00091	神奈川県愛甲郡愛川町
shop00092	東京都国分寺市
shop00093	神奈川県横浜市都筑区
shop00094	神奈川県横浜市青葉区
shop00095	神奈川県伊勢原市
shop00096	東京都武蔵野市
shop00097	東京都新島村
shop00098	東京都中野区
shop00099	東京都武蔵村山市
shop00100	神奈川県藤沢市
